"Model.k","DAICc.logL","anc1.anc2","opt1.opt2","a11.a22","a12","s11.s22","s12"
"1a (4)","23.19/-45.91","(9.09, 4.48)","(NA, NA)","(0, 0)",0,"(7.01, 9.68)",0
"1b (5)","25.3/-45.8","(9.09, 4.48)","(NA, NA)","(0, 0)",0,"(6.98, 9.67)",0.51
"2a (6)","20.51/-42.2","(9.09, 4.48)","(8.39, NA)","(15.03, 0)",0,"(7.92, 9.68)",0
"2b (7)","22.81/-42.11","(9.09, 4.48)","(8.39, NA)","(15.01, 0)",0,"(7.89, 9.67)",0.51
"3a (8)","13.07/-35.96","(9.1, 4.47)","(8.33, 3.67)","(13.97, 30.61)",0,"(7.89, 12.06)",0
"3b (9)","13.86/-35.03","(9.09, 4.48)","(8.39, 3.68)","(18.43, 32.77)",0,"(7.94, 12.69)",1.54
"4a (7)","17.53/-39.47","(9.09, 4.48)","(-3.43, NA)","(32.03, 0)",-13.05,"(8.65, 10.02)",0
"5a (9)","0/-28.1","(9.06, 4.48)","(8.33, 3.65)","(57.33, 24.02)",-56.24,"(7.89, 11.09)",0
"5b (10)","0.42/-26.94","(9.1, 4.48)","(8.39, 3.72)","(65.93, 31.07)",-73.56,"(7.71, 12.23)",-1.44
